trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.001, 'e': 0.996062771906031}",20,0,-170.95647503630732,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
135,False,"{'a': 0.001, 'e': 0.995929862284104}",30,0,-152.7033987158913,"{0: 17, 1: 2, 2: 7, 3: 3, 4: 1}",0
136,False,"{'a': 0.001, 'e': 0.9957924849636409}",30,4,-108.4888870952088,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 2}",1
137,False,"{'a': 0.001, 'e': 0.9956504910656097}",20,0,-253.4049085363726,"{0: 5, 1: 4, 2: 6, 3: 1, 4: 4}",0
138,False,"{'a': 0.001, 'e': 0.9955037268390589}",25,0,-40.435720474939586,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
139,False,"{'a': 0.001, 'e': 0.9953520335078253}",20,0,-73.61218203313129,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
140,False,"{'a': 0.001, 'e': 0.9951952471128405}",30,0,-211.8745164392785,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
141,False,"{'a': 0.001, 'e': 0.995033198349943}",20,0,-203.91672223600727,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
142,False,"{'a': 0.001, 'e': 0.9948657124031015}",25,0,-188.1887620271645,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
143,False,"{'a': 0.001, 'e': 0.9946926087729511}",25,0,-189.98501423770594,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
144,False,"{'a': 0.001, 'e': 0.9945137011005495}",25,0,-58.544319963393136,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
145,False,"{'a': 0.001, 'e': 0.994328796986259}",30,0,-89.45229473772167,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
146,False,"{'a': 0.001, 'e': 0.9941376978036617}",20,0,-71.90625711084488,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
147,False,"{'a': 0.001, 'e': 0.9939401985084158}",25,0,-179.7902998511997,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
148,False,"{'a': 0.001, 'e': 0.9937360874419672}",20,0,-65.32225292453312,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
149,False,"{'a': 0.001, 'e': 0.993525146130024}",20,0,-74.87988244088561,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
150,False,"{'a': 0.001, 'e': 0.9933071490757153}",20,0,-128.35757392281852,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
151,False,"{'a': 0.001, 'e': 0.9930818635473495}",20,0,-47.12007121937442,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
152,False,"{'a': 0.001, 'e': 0.9928490493606965}",25,0,-170.42867563134405,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
153,False,"{'a': 0.001, 'e': 0.9926084586557181}",25,0,-188.1626965818624,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
154,False,"{'a': 0.001, 'e': 0.9923598356676799}",25,0,-243.5149575261821,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 4}",0
155,False,"{'a': 0.001, 'e': 0.9921029164925812}",20,0,-31.57945087459528,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
156,False,"{'a': 0.001, 'e': 0.9918374288468401}",20,0,-85.82156612037117,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
157,False,"{'a': 0.001, 'e': 0.9915630918211906}",25,0,-95.6452883379962,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
158,False,"{'a': 0.001, 'e': 0.99127961562874}",20,0,-79.56903854003409,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
159,False,"{'a': 0.001, 'e': 0.990986701347152}",25,0,-107.01517815467048,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
160,False,"{'a': 0.001, 'e': 0.9906840406549333}",20,0,-117.34595610632124,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
161,False,"{'a': 0.001, 'e': 0.9903713155617954}",20,0,-66.37047532570541,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
162,False,"{'a': 0.001, 'e': 0.9900481981330957}",30,0,-221.27734441977702,"{0: 19, 1: 0, 2: 6, 3: 1, 4: 4}",0
163,False,"{'a': 0.001, 'e': 0.9897143502083522}",20,0,-133.49300146525349,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
164,False,"{'a': 0.001, 'e': 0.9893694231138561}",20,0,-133.1012456363291,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
165,False,"{'a': 0.001, 'e': 0.9890130573694068}",20,0,-61.3923777355038,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
166,False,"{'a': 0.001, 'e': 0.9886448823892203}",20,0,-142.39581225004164,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
167,False,"{'a': 0.001, 'e': 0.9882645161770677}",25,0,-52.10787095595589,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
168,False,"{'a': 0.001, 'e': 0.9878715650157257}",30,0,-216.34386053405515,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 4}",0
169,False,"{'a': 0.001, 'e': 0.9874656231508382}",25,0,-94.2077209584115,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
170,False,"{'a': 0.001, 'e': 0.9870462724693041}",25,0,-121.99204627802607,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
171,False,"{'a': 0.001, 'e': 0.9866130821723351}",20,0,-35.215559839674256,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
172,False,"{'a': 0.001, 'e': 0.9861656084433474}",20,0,-105.62006790058862,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
173,False,"{'a': 0.001, 'e': 0.9857033941108756}",25,0,-69.51513411212578,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
