trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
37,False,"{'a': 0.001, 'e': 0.9991547225445895}",30,0,-111.48668651912718,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
38,False,"{'a': 0.001, 'e': 0.9991333427889207}",20,0,-144.2048339475237,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
39,False,"{'a': 0.001, 'e': 0.9991114227521378}",20,0,-23.69095879537377,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
40,False,"{'a': 0.001, 'e': 0.9990889488055994}",25,6,-22.393937445377986,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 0}",1
41,False,"{'a': 0.001, 'e': 0.9990659069781429}",25,0,-65.08314406184182,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.001, 'e': 0.9990422829475397}",20,0,-123.3288676438895,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
43,False,"{'a': 0.001, 'e': 0.999018062031742}",25,0,-168.88020996817642,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
44,False,"{'a': 0.001, 'e': 0.9989932291799144}",30,0,-93.44105370762526,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
45,False,"{'a': 0.001, 'e': 0.9989677689632452}",30,0,-181.55182117329136,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
46,False,"{'a': 0.001, 'e': 0.9989416655655341}",30,0,-117.9290371403598,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
47,False,"{'a': 0.001, 'e': 0.9989149027735474}",25,12,-71.88287185471164,"{0: 5, 1: 2, 2: 5, 3: 1, 4: 0}",1
48,False,"{'a': 0.001, 'e': 0.9988874639671398}",30,0,-207.5086824556976,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
49,False,"{'a': 0.001, 'e': 0.998859332109132}",20,0,-129.04641038932647,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
50,False,"{'a': 0.001, 'e': 0.9988304897349445}",25,0,-180.6918067686327,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
51,False,"{'a': 0.001, 'e': 0.9988009189419755}",35,8,-149.02338261540424,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 3}",1
52,False,"{'a': 0.001, 'e': 0.9987706013787226}",30,0,-183.43724493095831,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
53,False,"{'a': 0.001, 'e': 0.9987395182336377}",20,0,-82.14506535202032,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
54,False,"{'a': 0.001, 'e': 0.9987076502237127}",25,0,-117.62475938209873,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 0}",0
55,False,"{'a': 0.001, 'e': 0.9986749775827868}",25,0,-134.35580089360388,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
56,False,"{'a': 0.001, 'e': 0.9986414800495711}",20,0,-129.84163225096543,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
57,False,"{'a': 0.001, 'e': 0.9986071368553817}",20,0,-136.75867602537605,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
58,False,"{'a': 0.001, 'e': 0.9985719267115775}",25,0,-107.49603900515329,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
59,False,"{'a': 0.001, 'e': 0.9985358277966933}",20,0,-149.8360242839533,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
60,False,"{'a': 0.001, 'e': 0.998498817743263}",30,0,-227.48290102267123,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
61,False,"{'a': 0.001, 'e': 0.9984608736243236}",25,0,-106.45132135072538,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
62,False,"{'a': 0.001, 'e': 0.9984219719395961}",25,0,-200.24436734108326,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
